Date,Long,Short,Cash,Total,NVDA_Position,NVDA_Equity,NVDA_Benchmark_Equity,SOFI_Position,SOFI_Equity,SOFI_Benchmark_Equity,AMZN_Position,AMZN_Equity,AMZN_Benchmark_Equity,XOM_Position,XOM_Equity,XOM_Benchmark_Equity,TSLA_Position,TSLA_Equity,TSLA_Benchmark_Equity,BA_Position,BA_Equity,BA_Benchmark_Equity,CAT_Position,CAT_Equity,CAT_Benchmark_Equity,WMT_Position,WMT_Equity,WMT_Benchmark_Equity,CVX_Position,CVX_Equity,CVX_Benchmark_Equity,UNH_Position,UNH_Equity,UNH_Benchmark_Equity,Benchmark_Equity
2024-03-01,25597.461862711472,3490.336361938133,20912.201775350397,50000.0,0.6670149011225641,5000.0,5000.0,-0.3333333333333333,5000.0,5000.0,1.0,5000.0,5000.0,0.29538769281715976,5000.0,5000.0,-0.031400605720959984,5000.0,5000.0,-0.3333333333333333,5000.0,5000.0,1.0,5000.0,5000.0,0.8454462076055761,5000.0,5000.0,0.5716153033387563,5000.0,5000.0,0.7400282676582375,5000.0,5000.0,50000.0
2024-03-04,31558.21785498497,5000.0,13441.782145015031,50079.26140364601,1.0,5118.090141621122,5179.754217830103,-0.3333333333333333,5071.362352374013,4771.968933568507,1.0,4982.044680852578,4982.044680852577,1.0,4978.901947525308,4930.083527416401,-0.3333333333333333,4998.420562768313,4642.222659817083,-0.3333333333333333,4995.483861064553,5013.499832500001,1.0,5028.956826384894,5028.956826384894,1.0,5038.787802416058,5045.949914925226,0.5716153033387563,4925.387740600512,4871.4095825520135,0.7400282676582375,4941.825488038662,4921.761554968889,49387.65173081569
2024-03-05,35048.554216923105,3333.333333333333,11618.112449743565,50282.49542789128,1.0,5162.225657303542,5224.421489641714,-0.3333333333333333,5275.695064808048,4043.3816274676738,1.0,4884.973457737807,4884.973457737806,1.0,5039.969434362719,4990.5522440312125,0.6980672723876267,5060.500637253702,4459.632995340406,-0.3333333333333333,4990.481909561003,5028.499985000001,1.0,4952.92514551054,4952.92514551054,1.0,5101.666124103801,5108.917611603933,0.5716153033387563,4938.77644778333,4894.640776837222,0.7400282676582375,4875.281549466792,4832.696284339685,48420.64161751019
2024-03-06,35048.554216923105,3333.333333333333,11618.112449743565,50417.89649759461,1.0,5326.525167671317,5390.70052308315,-0.3333333333333333,5243.500573970533,4115.684251111423,1.0,4867.859761298218,4867.859761298217,1.0,5093.880200069501,5043.934411577918,0.6980672723876267,4977.714406647408,4356.000637157523,-0.3333333333333333,4991.638676053115,5025.000000000002,1.0,4984.110729864737,4984.110729864737,1.0,5146.700907807257,5154.016407565963,0.5716153033387563,4914.879718716398,4853.412942655395,0.7400282676582375,4871.086355496116,4827.0788330031,48617.798497317424
2024-03-07,35048.554216923105,3333.333333333333,11618.112449743565,50902.184675484474,1.0,5564.867332928875,5631.914296506172,-0.3333333333333333,5226.758770631345,4154.616229300013,1.0,4960.722873679343,4960.722873679342,1.0,5122.505608354531,5072.279146087449,0.6980672723876267,5019.062068522113,4408.063423533548,-0.3333333333333333,4974.608290964123,5075.749970000002,1.0,5052.27160725393,5052.27160725393,1.0,5128.857042202588,5136.147178763225,0.5716153033387563,4934.496103559592,4887.4419149327905,0.7400282676582375,4918.034977388038,4890.200436021547,49269.407076078016
2024-03-08,34828.31387998998,3333.333333333333,11838.352786676685,50902.184675484474,1.0,5564.867332928875,5319.473261499471,-0.3333333333333333,5226.758770631345,4288.0980169048335,1.0,4960.722873679343,4919.481677682762,1.0,5122.505608354531,5119.992805261117,0.09045597955344961,5019.062068522113,4326.39155199287,-0.3333333333333333,4974.608290964123,4962.250137500002,1.0,5052.27160725393,5036.975752781888,1.0,5128.857042202588,5115.725250104139,0.8752067964445469,4934.496103559592,4904.130046214437,1.0,4918.034977388038,4906.319214399265,48898.837714340785
2024-03-11,33788.822868063515,5000.0,11211.177131936487,50959.669569280464,1.0,5453.350754298551,5212.874231774588,-0.3333333333333333,5233.502825553997,4271.412693899167,1.0,4864.81841413944,4824.3745242439145,1.0,5152.754437115818,5150.226795707661,-0.3333333333333333,5024.8757594906465,4386.350296742057,-0.3333333333333333,5022.705311459796,4812.250137500002,0.8825577771681559,4989.414810484802,4974.3092562362435,1.0,5174.924579164538,5161.674836943305,0.8752067964445469,4995.466464145155,4973.49701593674,1.0,5047.856213427727,5035.831189760787,48802.80097874447
2024-03-12,33695.448435978156,5000.0,11304.551564021842,51620.26973530824,1.0,5843.65708220278,5585.969213355729,-0.3333333333333333,5277.350234156013,4160.178092066829,1.0,4961.854300375677,4920.603698211622,1.0,5119.669597545457,5117.1581856338735,-0.3333333333333333,5027.039196301417,4380.674936480484,-0.3333333333333333,5090.339874346035,4606.000137500002,0.8638828907510846,5019.230099327573,5008.018466650103,1.0,5238.90721428032,5225.493652585209,0.8752067964445469,4992.301997518049,4969.897586672604,1.0,5049.920139254922,5037.890198895457,49011.88416805191
2024-03-13,33695.448435978156,5000.0,11304.551564021842,51844.43508066803,1.0,5778.489503759431,5523.675330985022,-0.3333333333333333,5300.447965275818,4104.560790872573,1.0,4994.95402453305,4953.4282463016825,1.0,5176.859066512644,5174.319600776328,-0.3333333333333333,5098.481574673782,4181.800143155746,-0.3333333333333333,5107.507689556507,4558.7501525000025,0.8638828907510846,5074.157152275541,5071.576924924468,1.0,5227.816898814386,5214.431732474382,0.8752067964445469,5049.732410832538,5035.337997444909,1.0,5035.988794434326,5023.9920413813325,48841.87296081645
2024-03-14,39319.414453755424,3333.333333333333,7347.252212911244,52043.27246380701,1.0,5591.31532584882,5344.75497672123,1.0,5374.715778687307,3921.0235653964855,1.0,5056.910081682527,5014.869228942636,1.0,5268.552121380181,5265.967676368188,-0.3333333333333333,5164.6120091705125,4009.5736399809734,-0.3333333333333333,5118.613168645048,4528.749847500002,0.8638828907510846,5079.2904592723835,5077.517058266297,1.0,5241.322861545393,5227.903114889889,1.0,5101.632229828508,5094.562474899514,1.0,5046.3084277463295,5034.287091220755,48519.20867418597
2024-03-15,44871.03107767082,1666.6666666666665,3462.30225566251,52043.27246380701,0.9742062155341646,5591.31532584882,5338.251817675095,1.0,5374.715778687307,3909.9001051576342,1.0,5056.910081682527,4893.390108449847,1.0,5268.552121380181,5256.51955253854,1.0,5164.6120091705125,4035.975320378925,-0.3333333333333333,5118.613168645048,4563.249970000002,1.0,5079.2904592723835,5152.5095709791485,1.0,5241.322861545393,5198.7736185010335,1.0,5101.632229828508,5089.654017091704,1.0,5046.3084277463295,5053.024144336357,48491.24822510829
2024-03-18,43923.56333035806,1666.6666666666665,4409.770002975267,52562.346982701994,0.9742062155341646,5629.633023535955,5375.810784088029,1.0,5412.942555890441,3937.7086231073736,1.0,5058.649572370273,4895.073351059991,1.0,5317.3221645577405,5305.17821238185,1.0,5487.617186186507,4288.393298820748,-0.3333333333333333,5143.263116367745,4495.999907500001,1.0,5151.460084913425,5225.719537967868,0.8105064505374487,5256.8706742011955,5214.195213467719,1.0,5097.041151962387,5085.07371869868,1.0,5007.547452716333,5014.211585514608,48837.364232606866
2024-03-19,43923.56333035806,1666.6666666666665,4409.770002975267,52620.35814701124,0.9742062155341646,5688.085587378455,5433.1217863229995,1.0,5290.616285343548,3848.7209411965637,1.0,5099.819181862627,4934.9117022674545,1.0,5354.727764893023,5342.498384035641,1.0,5409.313001313047,4227.201140131864,-0.3333333333333333,5130.750788980683,4528.499985000001,1.0,5180.737785990798,5255.419283675862,0.8105064505374487,5257.5704094401735,5215.051565554934,1.0,5136.725497067879,5124.664888226909,1.0,5072.011844741006,5078.761767893395,48988.85144430562
